,Name,naver_stock,investing 1,investing 2,,,,,,"""'"" & C2 & ""',""",,,
1,TIGER 반도체TOP10커버드콜액티브,https://stock.naver.com/domestic/stock/0177R0/price,,,,,,,,,"'https://stock.naver.com/domestic/stock/0177R0/price',","'',","'',"
2,KODEX 미국우주항공,https://stock.naver.com/domestic/stock/0167Z0/price,,,,,,,,,"'https://stock.naver.com/domestic/stock/0167Z0/price',","'',","'',"
3,HANARO Fn K-반도체,https://stock.naver.com/domestic/stock/395270/price,https://www.investing.com/etfs/395270,https://www.investing.com/etfs/395270-technical,,,,,,,"'https://stock.naver.com/domestic/stock/395270/price',","'https://www.investing.com/etfs/395270',","'https://www.investing.com/etfs/395270-technical',"
4,현대로템,https://stock.naver.com/domestic/stock/064350/price,https://www.investing.com/equities/hyundai-rotem,https://www.investing.com/equities/hyundai-rotem-technical,,,,,,,"'https://stock.naver.com/domestic/stock/064350/price',","'https://www.investing.com/equities/hyundai-rotem',","'https://www.investing.com/equities/hyundai-rotem-technical',"
5,TIGER 미국우주테크,https://stock.naver.com/domestic/stock/0183J0/price,https://www.investing.com/etfs/0183j0-seoul,https://www.investing.com/etfs/0183j0-seoul-technical,,,,,,,"'https://stock.naver.com/domestic/stock/0183J0/price',","'https://www.investing.com/etfs/0183j0-seoul',","'https://www.investing.com/etfs/0183j0-seoul-technical',"
6,KODEX 금융고배당TOP10타겟위클리커버드콜,https://stock.naver.com/domestic/stock/498410/price,https://www.investing.com/etfs/498410-seoul,https://www.investing.com/etfs/498410-seoul-technical,,,,,,,"'https://stock.naver.com/domestic/stock/498410/price',","'https://www.investing.com/etfs/498410-seoul',","'https://www.investing.com/etfs/498410-seoul-technical',"
7,ACE 미국30년국채액티브,https://stock.naver.com/domestic/stock/476760/price,https://www.investing.com/etfs/476760-seoul,https://www.investing.com/etfs/476760-seoul-technical,,,,,,,"'https://stock.naver.com/domestic/stock/476760/price',","'https://www.investing.com/etfs/476760-seoul',","'https://www.investing.com/etfs/476760-seoul-technical',"
8,인텔,https://stock.naver.com/worldstock/stock/INTC.O/price,https://www.investing.com/equities/intel-corp,https://www.investing.com/equities/intel-corp-technical,,,,,,,"'https://stock.naver.com/worldstock/stock/INTC.O/price',","'https://www.investing.com/equities/intel-corp',","'https://www.investing.com/equities/intel-corp-technical',"
9,LIG디펜스앤에어로스페이스,https://stock.naver.com/domestic/stock/079550/price,https://www.investing.com/equities/lig-nex1-co-ltd,https://www.investing.com/equities/lig-nex1-co-ltd-technical,,,,,,,"'https://stock.naver.com/domestic/stock/079550/price',","'https://www.investing.com/equities/lig-nex1-co-ltd',","'https://www.investing.com/equities/lig-nex1-co-ltd-technical',"
10,현대차,https://stock.naver.com/domestic/stock/005380/price,https://www.investing.com/equities/hyundai-motor,https://www.investing.com/equities/hyundai-motor-technical,,,,,,,"'https://stock.naver.com/domestic/stock/005380/price',","'https://www.investing.com/equities/hyundai-motor',","'https://www.investing.com/equities/hyundai-motor-technical',"
11,코카콜라(KO),https://stock.naver.com/worldstock/stock/KO/price,https://www.investing.com/equities/coca-cola-co,https://www.investing.com/equities/coca-cola-co-technical,,,,,,,"'https://stock.naver.com/worldstock/stock/KO/price',","'https://www.investing.com/equities/coca-cola-co',","'https://www.investing.com/equities/coca-cola-co-technical',"
12,넥스트에라 에너지 (NEE),https://stock.naver.com/worldstock/stock/NEE/price,https://www.investing.com/equities/nextera-energy-inc,https://www.investing.com/equities/nextera-energy-inc-technical,,,,,,,"'https://stock.naver.com/worldstock/stock/NEE/price',","'https://www.investing.com/equities/nextera-energy-inc',","'https://www.investing.com/equities/nextera-energy-inc-technical',"
13,HD현대일렉트릭,https://stock.naver.com/domestic/stock/267260/price,https://www.investing.com/equities/hyundai-electric-energy-systems,https://www.investing.com/equities/hyundai-electric-energy-systems-technical,,,,,,,"'https://stock.naver.com/domestic/stock/267260/price',","'https://www.investing.com/equities/hyundai-electric-energy-systems',","'https://www.investing.com/equities/hyundai-electric-energy-systems-technical',"
14,KODEX 삼성전자SK하이닉스채권혼합50,https://stock.naver.com/domestic/stock/0177N0/price,https://www.investing.com/etfs/0177n0,https://www.investing.com/etfs/0177n0-technical,,,,,,,"'https://stock.naver.com/domestic/stock/0177N0/price',","'https://www.investing.com/etfs/0177n0',","'https://www.investing.com/etfs/0177n0-technical',"
15,버티브 홀딩스,https://stock.naver.com/worldstock/stock/VRT/price,https://www.investing.com/equities/gs-acquisition-a,https://www.investing.com/equities/gs-acquisition-a-technical,,,,,,,"'https://stock.naver.com/worldstock/stock/VRT/price',","'https://www.investing.com/equities/gs-acquisition-a',","'https://www.investing.com/equities/gs-acquisition-a-technical',"
16,JPMorgan Nasdaq Equity Premium Income ETF,https://stock.naver.com/worldstock/etf/JEPQ.O/price,https://www.investing.com/etfs/jepq,https://www.investing.com/etfs/jepq-technical,,,,,,,"'https://stock.naver.com/worldstock/etf/JEPQ.O/price',","'https://www.investing.com/etfs/jepq',","'https://www.investing.com/etfs/jepq-technical',"
17,KODEX 미국S&P500,https://stock.naver.com/domestic/stock/379800/price,https://www.investing.com/etfs/379800,https://www.investing.com/etfs/379800-technical,,,,,,,"'https://stock.naver.com/domestic/stock/379800/price',","'https://www.investing.com/etfs/379800',","'https://www.investing.com/etfs/379800-technical',"
18,TIGER 미국배당다우존스,https://stock.naver.com/domestic/stock/458730/price,https://www.investing.com/etfs/458730,https://www.investing.com/etfs/458730-technical,,,,,,,"'https://stock.naver.com/domestic/stock/458730/price',","'https://www.investing.com/etfs/458730',","'https://www.investing.com/etfs/458730-technical',"
19,SK하이닉스,https://stock.naver.com/domestic/stock/000660/price,https://www.investing.com/equities/sk-hynix-inc,https://www.investing.com/equities/sk-hynix-inc-technical,,,,,,,"'https://stock.naver.com/domestic/stock/000660/price',","'https://www.investing.com/equities/sk-hynix-inc',","'https://www.investing.com/equities/sk-hynix-inc-technical',"
20,엔씨소프트,https://stock.naver.com/domestic/stock/036570/price,https://www.investing.com/equities/ncsoft-corp,https://www.investing.com/equities/ncsoft-corp-technical,,,,,,,"'https://stock.naver.com/domestic/stock/036570/price',","'https://www.investing.com/equities/ncsoft-corp',","'https://www.investing.com/equities/ncsoft-corp-technical',"
21,Schwab US Dividend Equity ETF,https://stock.naver.com/worldstock/etf/SCHD.K/price,https://www.investing.com/etfs/schwab-us-dividend-equity,https://www.investing.com/etfs/schwab-us-dividend-equity-technical,,,,,,,"'https://stock.naver.com/worldstock/etf/SCHD.K/price',","'https://www.investing.com/etfs/schwab-us-dividend-equity',","'https://www.investing.com/etfs/schwab-us-dividend-equity-technical',"
22,삼성전자,https://stock.naver.com/domestic/stock/005930/price,https://www.investing.com/equities/samsung-electronics-co-ltd,https://www.investing.com/equities/samsung-electronics-co-ltd-technical,,,,,,,"'https://stock.naver.com/domestic/stock/005930/price',","'https://www.investing.com/equities/samsung-electronics-co-ltd',","'https://www.investing.com/equities/samsung-electronics-co-ltd-technical',"
23,VanEck Semiconductor ETF,https://stock.naver.com/worldstock/etf/SMH.O/price,https://www.investing.com/etfs/holdrs-merrill-lynch-semiconductor,https://www.investing.com/etfs/holdrs-merrill-lynch-semiconductor-technical,,,,,,,"'https://stock.naver.com/worldstock/etf/SMH.O/price',","'https://www.investing.com/etfs/holdrs-merrill-lynch-semiconductor',","'https://www.investing.com/etfs/holdrs-merrill-lynch-semiconductor-technical',"
24,리얼티 인컴,https://stock.naver.com/worldstock/stock/O/price,https://www.investing.com/equities/realty-income,https://www.investing.com/equities/realty-income-technical,,,,,,,"'https://stock.naver.com/worldstock/stock/O/price',","'https://www.investing.com/equities/realty-income',","'https://www.investing.com/equities/realty-income-technical',"
25,마이크론 테크놀로지,https://stock.naver.com/worldstock/stock/MU.O/price,https://www.investing.com/equities/micron-tech,https://www.investing.com/equities/micron-tech-technical,,,,,,,"'https://stock.naver.com/worldstock/stock/MU.O/price',","'https://www.investing.com/equities/micron-tech',","'https://www.investing.com/equities/micron-tech-technical',"
26,TIGER 미국테크TOP10 INDXX,https://stock.naver.com/domestic/stock/381170/price,https://www.investing.com/etfs/381170,https://www.investing.com/etfs/381170-technical,,,,,,,"'https://stock.naver.com/domestic/stock/381170/price',","'https://www.investing.com/etfs/381170',","'https://www.investing.com/etfs/381170-technical',"
27,KODEX AI전력핵심설비,https://stock.naver.com/domestic/stock/487240/price,https://www.investing.com/etfs/487240-seoul,https://www.investing.com/etfs/487240-seoul-technical,,,,,,,"'https://stock.naver.com/domestic/stock/487240/price',","'https://www.investing.com/etfs/487240-seoul',","'https://www.investing.com/etfs/487240-seoul-technical',"
28,팔란티어 테크놀로지스,https://stock.naver.com/worldstock/stock/PLTR.O/price,https://www.investing.com/equities/palantir-technologies-inc,https://www.investing.com/equities/palantir-technologies-inc-technical,,,,,,,"'https://stock.naver.com/worldstock/stock/PLTR.O/price',","'https://www.investing.com/equities/palantir-technologies-inc',","'https://www.investing.com/equities/palantir-technologies-inc-technical',"
29,일라이 릴리,https://stock.naver.com/worldstock/stock/LLY/price,https://www.investing.com/equities/eli-lilly-and-co,https://www.investing.com/equities/eli-lilly-and-co-technical,,,,,,,"'https://stock.naver.com/worldstock/stock/LLY/price',","'https://www.investing.com/equities/eli-lilly-and-co',","'https://www.investing.com/equities/eli-lilly-and-co-technical',"
30,비트코인,https://stock.naver.com/crypto/BITHUMB/BTC,https://www.investing.com/crypto/bitcoin/btc-krw,https://www.investing.com/crypto/bitcoin/btc-krw-technical,,,,,,,"'https://stock.naver.com/crypto/BITHUMB/BTC',","'https://www.investing.com/crypto/bitcoin/btc-krw',","'https://www.investing.com/crypto/bitcoin/btc-krw-technical',"
