id,Name,naver_stock,investing 1,investing 2
1,TIGER 미국MSCI리츠(합성 H),https://stock.naver.com/domestic/stock/182480/price,https://www.investing.com/etfs/miraeasset-tiger-synth-msci-us-reit,https://www.investing.com/etfs/miraeasset-tiger-synth-msci-us-reit-technical
2,ACE 일라이릴리밸류체인,https://stock.naver.com/domestic/stock/497520/price,https://www.investing.com/etfs/497520,https://www.investing.com/etfs/497520-technical
3,삼성전기,https://stock.naver.com/domestic/stock/009150/price,https://www.investing.com/equities/samsung-electro-mechanics,https://www.investing.com/equities/samsung-electro-mechanics-technical
4,KODEX 신재생에너지액티브,https://stock.naver.com/domestic/stock/385510/price,https://www.investing.com/etfs/385510,https://www.investing.com/etfs/385510-technical
5,샌디스크,https://stock.naver.com/worldstock/stock/SNDK.O/price,https://www.investing.com/equities/sandisk-corp,https://www.investing.com/equities/sandisk-corp-technical
6,마이크로소프트,https://stock.naver.com/worldstock/stock/MSFT.O/price,https://www.investing.com/equities/microsoft-corp,https://www.investing.com/equities/microsoft-corp-technical
7,YPF ADR,https://stock.naver.com/worldstock/stock/YPF/price,https://www.investing.com/equities/ypf-sa,https://www.investing.com/equities/ypf-sa-technical
8,알파벳 Class C,https://stock.naver.com/worldstock/stock/GOOG.O/price,https://www.investing.com/equities/google-inc-c,https://www.investing.com/equities/google-inc-c-technical
9,델타 에어라인스,https://stock.naver.com/worldstock/stock/DAL/price,https://www.investing.com/equities/delta-air-lines-new,https://www.investing.com/equities/delta-air-lines-new-technical
10,HANARO 미국AI메모리반도체TOP4+,https://stock.naver.com/domestic/stock/0181B0/price,https://www.investing.com/etfs/0181b0-seoul,https://www.investing.com/etfs/0181b0-seoul-technical
11,KODEX 200,https://stock.naver.com/domestic/stock/069500/price,https://www.investing.com/etfs/samsung-kodex-kospi-200-securities,https://www.investing.com/etfs/samsung-kodex-kospi-200-securities-technical
12,모더나,https://stock.naver.com/worldstock/stock/MRNA.O/price,https://www.investing.com/equities/moderna,https://www.investing.com/equities/moderna-technical
13,iShares Genomics Immunology and Healthcare ETF,https://stock.naver.com/worldstock/etf/IDNA.K/price,https://www.investing.com/etfs/ishares-gen-immunologyhealthcare,https://www.investing.com/etfs/ishares-gen-immunologyhealthcare-technical
