"Indicator","ACE KRX금현물","ACE 미국빅테크TOP7 Plus","ACE 일라이릴리밸류체인"
"RSI..14d.","50.84","47.838","47.59"
"MACD..12.26.","-28.929","33.059","-28.215"
"ADX..14.","45.014","31.437","50.766"
"STOCH...STOCHRSI","99.612","99.417","98.503"
"ATR..14.","133.9286","118.7857","96.7857"
"ROE..자기자본이익률.",NA,NA,NA
"ROA..총자산이익률.",NA,NA,NA
"EV.EBITDA",NA,NA,NA
"Beta..베타.","0.47","0.84","1.24"
"Average.Vol...3m.","1,609,948","945,215","6,234"
"외인소진율",NA,NA,NA
"추정.PER",NA,NA,NA
"MA1","27,781.00","24,836.00","13,794.00"
"MA2","28,006.75","24,822.50","13,338.25"
"MA3","29,602.33","25,040.08","12,629.25"
"MA4","31,114.63","23,475.67","12,602.08"
"PER",NA,NA,NA
"EPS",NA,NA,NA
"PBR",NA,NA,NA
"Volume","587,100","517,622","2,973"
"Day.s.Range","27,510                                                                                        27,830","24,870                                                                                           25,150","13,490                                                                                           13,840"
"X52.Week.Range","20,550                                                                                        37,890","18,225                                                                                            27,115","9,635                                                                                             14,195"
"Bid...Ask","27,685.00 / 27,695.00","24,890.00 / 24,910.00","13,710.00 / 13,730.00"
"괴리율","-0.79%","0.48%","-0.85%"
"EPS.Growth",NA,NA,NA
"BPS",NA,NA,NA
"Gross.Profit.Margin",NA,NA,NA
"NAV","27,682","25,039","13,769"
"Expense.Ratio","Investing: 0.31% / Naver: 0.19%","Investing: 0.37% / Naver: 0.3%","Investing: 0.80% / Naver: 0.45%"
"Dividend.Yield",NA,NA,NA
"Dividends..TTM.","1.00","54.00","88.00"
